drug_id,drug_name,manufacturer,batch_number,manufacture_country,manufacture_date,expiry_date,active_ingredient,dosage_mg,price_inr,label
31,Metformin,MedRite Pharma,B42088,USA,2024-06-08,2025-02-17,Metformin,500,57.06,0
32,Pantoprazole,Pfizer,B55735,UK,2026-03-08,2028-06-29,Pantoprazole,40,231.74,1
33,Metformin,Cipla,B905533,India,2025-12-31,2027-07-23,Metformin,500,129.65,1
34,Amoxicillin,Nexus Biotech,B219879,USA,2025-02-17,2027-05-28,Amoxicillin,250,145.68,0
35,Azithromycin,Lupin,B88784,Switzerland,2025-09-13,2026-11-15,Azithromycin,500,353.64,1
36,Cetirizine,BioMed Generics,B99610,Germany,2025-12-10,2027-09-12,Cetirizine,10,62.67,1
37,Azithromycin,Pfizer,QPH6,India,2025-12-21,2026-04-06,Azithromycin,500,70.23,0
38,Cetirizine,Novartis,B67250,Switzerland,2025-07-23,2028-07-01,Cetirizine,10,54.06,1
39,Paracetamol,Alkem,B52432,UK,2025-05-06,2026-05-20,Paracetamol,500,92.01,1
40,Metformin,Abbott India,B375568,Switzerland,2026-06-28,2027-07-01,Metformin,500,135.22,1
41,Azithromycin,Mankind Pharma,B3174,Germany,2025-12-04,2028-11-16,Azithromycin,500,347.75,1
42,Azithromycin,Alkem,CF6166,UK,2025-04-16,2025-06-16,Azithromycin,500,64.05,0
43,Metformin,Sanofi India,B218887,UK,2025-08-30,2028-04-30,Metformin,500,54.86,0
44,Ibuprofen,Sanofi India,B21484,USA,2024-02-25,2025-05-26,Ibuprofen,400,94.16,1
45,Pantoprazole,Novartis,B627812,Switzerland,2023-10-02,2026-08-15,Pantoprazole,40,119.04,1
46,Ibuprofen,Sanofi India,B230485,USA,2025-07-15,2027-11-02,Ibuprofen,400,86.59,1
47,Ibuprofen,Lupin,B790677,India,2025-01-19,2026-11-29,Ibuprofen,400,91.2,1
48,Ibuprofen,Pfizer,FN,Germany,2025-05-08,2025-10-31,Ibuprofen,400,71.48,1
49,Omeprazole,Pfizer,B235130,UK,2025-10-04,2027-03-30,Omeprazole,20,160.67,1
50,Cetirizine,Mankind Pharma,B76093,UK,2025-10-07,2026-09-12,Cetirizine,10,56.23,1
51,Amlodipine,Cipla,B112098,India,2024-06-05,2025-07-03,Amlodipine,5,181.38,1
52,Amlodipine,Pfizer,B2238,Switzerland,2026-02-11,2028-11-21,Amlodipine,5,157.4,1
53,Cetirizine,Alkem,B59559,India,2025-01-11,2027-11-17,Cetirizine,10,69.87,1
54,Amoxicillin,Mankind Pharma,B24034,Switzerland,2024-05-13,2026-02-26,Amoxicillin,250,203.42,1
55,Azithromycin,Abbott India,B61222,India,2024-02-19,2026-07-05,Azithromycin,500,368.7,1
56,Ibuprofen,GenPharm Ltd,NL6,India,2023-08-17,2024-07-30,Ibuprofen,400,33.34,0
57,Pantoprazole,Abbott India,B743830,Switzerland,2023-08-07,2025-01-15,Pantoprazole,40,135.28,1
58,Atorvastatin,Sun Pharma,B38351,Switzerland,2024-10-14,2026-03-04,Atorvastatin,10,54.06,0
59,Azithromycin,Cipla,B589730,USA,2026-05-08,2028-07-27,Azithromycin,500,320.55,1
60,Ibuprofen,Lupin,B511907,Switzerland,2024-02-23,2026-10-12,Ibuprofen,400,121.54,1
61,Pantoprazole,Bayer India,B544320,USA,2025-02-03,2026-12-26,Pantoprazole,40,145.38,1
62,Pantoprazole,Abbott India,B68904,USA,2024-07-04,2025-08-07,Pantoprazole,40,154.17,1
63,Atorvastatin,Novartis,B25027,UK,2024-07-30,2026-06-25,Atorvastatin,10,176.33,1
64,Azithromycin,Abbott India,B228244,USA,2023-08-16,2025-07-07,Azithromycin,500,236.17,1
65,Cetirizine,Abbott India,B60540,USA,2025-02-27,2027-11-05,Cetirizine,10,94.12,1
66,Omeprazole,Cipla,B815267,India,2026-01-04,2027-11-25,Omeprazole,20,196.74,1
67,Omeprazole,Bayer India,B4596,USA,2025-12-06,2027-04-07,Omeprazole,20,147.86,1
68,Azithromycin,Lupin,B118702,Germany,2023-08-06,2025-11-20,Azithromycin,500,366.68,1
69,Ibuprofen,Novartis,B366,India,2023-12-17,2026-04-11,Ibuprofen,400,107.5,1
70,Ibuprofen,Abbott India,B617806,Germany,2023-11-01,2025-12-07,Ibuprofen,400,87.9,1
71,Metformin,GenPharm Ltd,CF579,UK,2024-05-07,2026-04-02,Metformin,500,84.09,1
72,Ibuprofen,Abbott India,B16880,USA,2025-01-09,2026-02-22,Ibuprofen,400,136.02,1
73,Atorvastatin,Pfizer,B28056,India,2026-02-25,2027-06-27,Atorvastatin,10,218.43,1
74,Azithromycin,Sanofi India,B78388,Germany,2026-07-12,2028-03-14,Azithromycin,500,410.23,1
75,Metformin,GSK,B903421,Switzerland,2025-03-25,2028-03-22,Metformin,500,76.98,1
76,Amlodipine,Alkem,B74828,Switzerland,2023-08-23,2024-06-17,Amlodipine,5,200.37,1
77,Omeprazole,Novartis,B897429,UK,2025-04-26,2028-04-20,Omeprazole,20,152.63,1
78,Azithromycin,Dr. Reddy's,B504305,Switzerland,2026-02-08,2028-11-04,Azithromycin,500,282.59,1
79,Ibuprofen,Dr. Reddy's,B29305,India,2026-02-26,2027-06-15,Ibuprofen,400,101.85,1
80,Omeprazole,Zydus Cadila,B8798,India,2026-02-09,2028-02-04,Omeprazole,20,100.8,1
81,Amlodipine,Dr. Reddy's,B632599,India,2025-06-10,2026-08-03,Amlodipine,5,162.69,1
82,Cetirizine,Alpha Drugs,OV,India,2025-12-31,2027-02-20,Cetirizine,10,37.71,0
83,Amoxicillin,Sun Pharma,B18630,USA,2026-07-21,2027-11-01,Amoxicillin,250,241.9,1
84,Pantoprazole,Pfizer,B619225,Germany,2024-09-21,2026-03-15,Pantoprazole,40,144.25,1
85,Cetirizine,Glenmark,B34258,Germany,2026-05-23,2029-05-09,Cetirizine,10,68.06,1
86,Atorvastatin,UniPharma,FL,Switzerland,2026-03-25,2026-04-29,Atorvastatin,10,138.98,0
87,Atorvastatin,Sun Pharma,B711486,Switzerland,2023-07-30,2025-12-11,Atorvastatin,10,264.2,1
88,Metformin,PharmTech India,MX2501,India,2025-06-14,2025-10-11,Metformin,500,34.14,1
89,Atorvastatin,GSK,B5877,Germany,2025-04-04,2028-03-31,Atorvastatin,10,197.88,1
90,Amlodipine,Bayer India,B29385,Germany,2025-11-14,2027-06-27,Amlodipine,5,188.38,1
91,Azithromycin,Pfizer,B35407,USA,2025-09-08,2028-06-23,Azithromycin,500,305.88,1
92,Atorvastatin,Bayer India,B44774,Switzerland,2025-07-11,2027-06-15,Atorvastatin,10,267.03,1
93,Ibuprofen,Alkem,Z4E2,Switzerland,2025-07-07,2025-08-08,Ibuprofen,400,53.67,0
94,Azithromycin,Zydus Cadila,B49799,UK,2026-04-20,2028-02-09,Azithromycin,500,280.97,1
95,Atorvastatin,Zydus Cadila,B16972,India,2026-04-23,2028-03-01,Atorvastatin,10,203.41,0
96,Cetirizine,Zydus Cadila,2S8,Germany,2025-02-01,2026-08-21,Cetirizine,10,43.47,0
97,Amoxicillin,Abbott India,WP8D,USA,2025-04-24,2027-07-14,Amoxicillin,250,66.05,0
98,Cetirizine,Lupin,B681208,Switzerland,2024-09-08,2026-07-13,Cetirizine,10,84.29,1
99,Atorvastatin,UniPharma,DSY,UK,2025-07-29,2025-12-15,Atorvastatin,10,119.46,0
100,Ibuprofen,Torrent,B192724,UK,2024-05-10,2027-01-29,Ibuprofen,400,95.42,1
101,Omeprazole,Novartis,B156136,UK,2025-10-09,2027-02-14,Omeprazole,20,113.02,1
102,Paracetamol,Bayer India,B17168,UK,2025-01-31,2027-11-27,Paracetamol,500,110.32,1
103,Pantoprazole,GSK,B25917,India,2026-06-08,2027-08-01,Pantoprazole,40,149.4,1
104,Amlodipine,Nexus Biotech,XFWZ,India,2024-09-11,2025-09-11,Amlodipine,5,90.86,0
105,Amoxicillin,Cipla,B509693,UK,2023-11-18,2025-03-21,Amoxicillin,250,174.29,1
106,Metformin,Glenmark,B790130,Switzerland,2024-04-05,2026-06-21,Metformin,500,140.94,1
107,Paracetamol,Alkem,B72411,India,2026-04-06,2028-01-27,Paracetamol,500,174.99,1
108,Amoxicillin,Zydus Cadila,B70812,Switzerland,2025-11-27,2028-02-05,Amoxicillin,250,186.4,1
109,Atorvastatin,Sun Pharma,B94555,UK,2026-01-23,2027-03-07,Atorvastatin,10,231.63,1
110,Cetirizine,GSK,B56890,Switzerland,2026-05-18,2028-10-14,Cetirizine,10,78.82,1
111,Amlodipine,Dr. Reddy's,B581801,USA,2024-05-09,2026-02-18,Amlodipine,5,115.82,1
112,Atorvastatin,GSK,B735271,Switzerland,2024-07-31,2027-03-12,Atorvastatin,10,218.84,1
113,Amlodipine,Dr. Reddy's,B712885,Germany,2025-10-31,2027-01-08,Amlodipine,5,172.06,0
114,Azithromycin,Bayer India,B439381,USA,2024-11-13,2026-07-13,Azithromycin,500,490.99,1
115,Azithromycin,Pfizer,B90203,Germany,2024-12-21,2026-04-17,Azithromycin,500,288.68,0
116,Amoxicillin,Torrent,RX1863,UK,2024-09-09,2027-01-24,Amoxicillin,250,73.22,0
117,Atorvastatin,Sanofi India,B21274,USA,2023-09-15,2026-06-20,Atorvastatin,10,218.48,1
118,Amoxicillin,Torrent,B695900,USA,2023-12-22,2025-12-04,Amoxicillin,250,142.48,1
119,Amlodipine,Nexus Biotech,B748522,UK,2023-12-12,2024-04-16,Amlodipine,5,126.46,1
120,Pantoprazole,Glenmark,B341773,India,2023-11-10,2026-07-17,Pantoprazole,40,185.97,1
121,Paracetamol,Glenmark,B171253,USA,2024-06-15,2026-04-05,Paracetamol,500,140.57,1
122,Pantoprazole,Glenmark,T6,USA,2025-01-16,2025-07-23,Pantoprazole,40,93.32,0
123,Atorvastatin,Torrent,B894133,USA,2023-12-02,2025-07-30,Atorvastatin,10,291.25,1
124,Pantoprazole,Torrent,B64557,Switzerland,2024-01-09,2026-07-26,Pantoprazole,40,120.88,1
125,Azithromycin,Sun Pharma,B95240,USA,2024-11-05,2025-12-31,Azithromycin,500,143.75,0
126,Omeprazole,Torrent,B60741,UK,2025-09-07,2028-08-19,Omeprazole,20,232.46,1
127,Ibuprofen,Cipla,RX5863,UK,2023-11-23,2024-01-15,Ibuprofen,400,36.05,0
128,Omeprazole,Torrent,B42757,UK,2023-11-21,2025-02-06,Omeprazole,20,133.94,1
129,Metformin,Abbott India,B48327,India,2024-04-18,2026-12-29,Metformin,500,132.62,1
130,Amoxicillin,Novartis,B330987,Germany,2026-01-21,2029-01-20,Amoxicillin,250,162.76,1
131,Cetirizine,Lupin,B434347,Germany,2026-05-24,2027-09-07,Cetirizine,10,58.67,1
132,Ibuprofen,Glenmark,B78287,Germany,2024-11-11,2026-09-19,Ibuprofen,400,101.38,1
133,Omeprazole,UniPharma,ZX,India,2026-05-14,2027-01-18,Omeprazole,20,32.89,0
134,Ibuprofen,MedRite Pharma,NANP,USA,2025-12-26,2026-04-13,Ibuprofen,400,41.84,0
135,Cetirizine,Wockhardt,B949602,Switzerland,2024-10-13,2025-11-10,Cetirizine,10,66.56,1
136,Pantoprazole,Torrent,GN4809,UK,2026-03-03,2026-08-25,Pantoprazole,40,135.05,0
137,Atorvastatin,Lupin,B46791,India,2025-02-08,2026-05-06,Atorvastatin,10,188.1,1
138,Amlodipine,Sun Pharma,B381802,USA,2024-12-22,2027-10-21,Amlodipine,5,159.4,1
139,Pantoprazole,Wockhardt,MX7371,India,2026-03-09,2028-03-10,Pantoprazole,40,75.91,0
140,Amlodipine,Cipla,B167154,USA,2026-01-15,2027-07-18,Amlodipine,5,132.9,1
141,Atorvastatin,Lupin,B90995,USA,2023-11-06,2025-07-01,Atorvastatin,10,230.24,1
142,Paracetamol,GSK,B82536,India,2024-11-05,2026-01-06,Paracetamol,500,155.85,1
143,Atorvastatin,Abbott India,B88719,Switzerland,2024-11-19,2026-11-12,Atorvastatin,10,159.51,1
144,Amlodipine,Lupin,B969414,UK,2025-11-25,2027-02-06,Amlodipine,5,176.39,1
145,Atorvastatin,Abbott India,B783648,India,2025-09-02,2027-12-27,Atorvastatin,10,231.74,1
146,Atorvastatin,Sun Pharma,B87493,Germany,2023-09-18,2025-01-03,Atorvastatin,10,257.24,1
147,Cetirizine,Wockhardt,B971080,UK,2023-10-02,2026-08-04,Cetirizine,10,62.47,1
148,Ibuprofen,Mankind Pharma,B84108,Germany,2026-05-24,2029-01-01,Ibuprofen,400,76.79,1
149,Ibuprofen,Novartis,B791218,UK,2026-07-06,2028-12-19,Ibuprofen,400,111.0,1
150,Atorvastatin,Lupin,B342106,USA,2026-02-15,2028-01-03,Atorvastatin,10,233.46,1
151,Amoxicillin,Pfizer,B687681,Germany,2026-05-28,2027-08-14,Amoxicillin,250,189.25,1
152,Metformin,Pfizer,B80466,Germany,2024-12-10,2027-01-31,Metformin,500,139.33,1
153,Azithromycin,Wockhardt,B63543,Germany,2025-12-06,2028-05-06,Azithromycin,500,261.85,1
154,Pantoprazole,Alkem,B116265,UK,2024-07-03,2025-11-03,Pantoprazole,40,167.61,1
155,Amlodipine,Cipla,B66547,Germany,2023-09-15,2026-08-21,Amlodipine,5,180.26,1
156,Amoxicillin,Sanofi India,B233644,India,2025-10-28,2028-10-10,Amoxicillin,250,156.04,1
157,Atorvastatin,Wockhardt,B15929,India,2023-12-26,2025-12-23,Atorvastatin,10,319.51,1
158,Ibuprofen,Sanofi India,B834122,Germany,2024-04-28,2025-11-01,Ibuprofen,400,109.94,1
159,Pantoprazole,Mankind Pharma,B87798,Switzerland,2025-08-23,2028-07-13,Pantoprazole,40,126.08,1
160,Ibuprofen,Zydus Cadila,CF3905,USA,2026-06-22,2027-05-16,Ibuprofen,400,40.89,0
161,Ibuprofen,Dr. Reddy's,B37614,USA,2025-12-25,2028-06-08,Ibuprofen,400,82.29,1
162,Pantoprazole,Dr. Reddy's,B610274,USA,2026-01-11,2027-08-28,Pantoprazole,40,187.28,1
163,Atorvastatin,Cipla,B247852,Switzerland,2024-02-09,2025-09-07,Atorvastatin,10,277.37,1
164,Amlodipine,Sun Pharma,MX209,Germany,2025-08-22,2026-02-14,Amlodipine,5,91.87,0
165,Metformin,Glenmark,B68249,UK,2025-12-29,2028-05-17,Metformin,500,157.62,1
166,Azithromycin,Mankind Pharma,B39155,Switzerland,2023-12-27,2025-11-25,Azithromycin,500,325.82,1
167,Cetirizine,Mankind Pharma,B140220,USA,2025-12-31,2027-04-12,Cetirizine,10,94.3,1
168,Amlodipine,Torrent,B42232,USA,2024-05-03,2026-12-24,Amlodipine,5,248.43,1
169,Omeprazole,IPCA Labs,B75106,Germany,2024-01-25,2025-01-24,Omeprazole,20,43.27,0
170,Paracetamol,Lupin,B64808,UK,2025-01-16,2027-10-06,Paracetamol,500,103.21,1
171,Pantoprazole,Novartis,B49334,USA,2024-11-13,2026-09-08,Pantoprazole,40,133.92,1
172,Metformin,Abbott India,B201222,Germany,2024-10-18,2026-02-10,Metformin,500,110.43,1
173,Atorvastatin,Lupin,B33094,UK,2026-03-05,2028-01-25,Atorvastatin,10,216.63,1
174,Cetirizine,Bayer India,B730255,Germany,2025-11-17,2028-10-20,Cetirizine,10,85.65,1
175,Atorvastatin,Pfizer,B374312,USA,2025-05-08,2027-07-03,Atorvastatin,10,232.52,1
176,Metformin,Torrent,HWBQ,UK,2024-09-22,2025-04-18,Metformin,500,93.87,1
177,Pantoprazole,Novartis,B445,Germany,2025-09-11,2026-12-12,Pantoprazole,40,160.42,1
178,Cetirizine,GenPharm Ltd,B57460,Switzerland,2025-10-15,2026-06-10,Cetirizine,10,68.91,0
179,Azithromycin,Lupin,B11787,Switzerland,2023-10-09,2024-10-28,Azithromycin,500,284.53,1
180,Amlodipine,GSK,B4738,India,2025-04-05,2026-04-29,Amlodipine,5,292.9,1
181,Omeprazole,Sanofi India,B45389,India,2024-01-17,2025-04-04,Omeprazole,20,169.99,1
182,Ibuprofen,UniPharma,2GVL,India,2023-09-13,2024-02-07,Ibuprofen,400,40.11,0
183,Atorvastatin,Sanofi India,IO,Switzerland,2026-07-24,2026-11-28,Atorvastatin,10,64.11,0
184,Metformin,GenPharm Ltd,B62081,Germany,2024-11-14,2027-02-14,Metformin,500,143.17,1
185,Pantoprazole,Dr. Reddy's,B22502,India,2024-07-08,2026-02-05,Pantoprazole,40,153.01,1
186,Metformin,Pfizer,B648830,UK,2024-11-15,2026-01-14,Metformin,500,149.95,1
187,Atorvastatin,UniPharma,UOAY,UK,2026-05-16,2026-08-14,Atorvastatin,10,141.08,0
188,Metformin,Mankind Pharma,B833222,UK,2024-01-02,2026-01-20,Metformin,500,128.12,1
189,Paracetamol,IPCA Labs,B15119,India,2025-12-12,2028-05-02,Paracetamol,500,101.3,1
190,Amlodipine,Sanofi India,B223295,UK,2026-01-04,2027-11-01,Amlodipine,5,125.57,1
191,Atorvastatin,Wockhardt,B28548,UK,2025-03-13,2027-08-30,Atorvastatin,10,201.21,1
192,Pantoprazole,Zydus Cadila,B53276,Switzerland,2024-04-30,2025-10-15,Pantoprazole,40,189.89,1
193,Metformin,Dr. Reddy's,B50873,India,2024-08-15,2026-03-07,Metformin,500,135.69,1
194,Amlodipine,GSK,B55934,UK,2025-07-03,2025-09-20,Amlodipine,5,90.49,0
195,Ibuprofen,Pfizer,B20154,UK,2024-06-04,2025-09-17,Ibuprofen,400,103.52,1
196,Atorvastatin,Dr. Reddy's,B446198,India,2025-02-14,2027-11-06,Atorvastatin,10,237.62,1
197,Metformin,Lupin,B90599,USA,2024-05-23,2025-10-16,Metformin,500,108.94,1
198,Paracetamol,Torrent,B546070,USA,2026-03-20,2028-02-17,Paracetamol,500,123.75,1
199,Amoxicillin,Pfizer,B426905,USA,2026-07-01,2028-05-20,Amoxicillin,250,182.11,1
200,Pantoprazole,PharmTech India,B687712,Switzerland,2024-12-22,2025-11-09,Pantoprazole,40,73.81,0
201,Cetirizine,Bayer India,B863878,India,2025-12-12,2027-07-18,Cetirizine,10,85.93,1
202,Omeprazole,Sun Pharma,SAL,USA,2025-08-21,2026-06-25,Omeprazole,20,167.8,1
203,Pantoprazole,Bayer India,B387492,USA,2023-11-22,2026-06-29,Pantoprazole,40,198.7,1
204,Metformin,Bayer India,B15006,Switzerland,2025-08-22,2026-09-20,Metformin,500,160.5,1
205,Azithromycin,Dr. Reddy's,B17346,Germany,2026-01-21,2028-11-03,Azithromycin,500,227.75,1
206,Cetirizine,Lupin,B53603,India,2025-05-06,2028-05-01,Cetirizine,10,66.32,1
207,Pantoprazole,Torrent,GN6921,Germany,2023-12-08,2026-05-04,Pantoprazole,40,92.44,0
208,Atorvastatin,Zydus Cadila,B281370,India,2023-08-03,2025-06-16,Atorvastatin,10,243.81,1
209,Cetirizine,Cipla,B192444,India,2024-03-22,2025-06-22,Cetirizine,10,88.68,1
210,Amoxicillin,Sun Pharma,B38511,India,2025-09-02,2027-12-17,Amoxicillin,250,388.97,1
211,Omeprazole,Alkem,B50696,USA,2023-11-14,2025-12-06,Omeprazole,20,168.14,1
212,Azithromycin,Pfizer,B45756,USA,2024-09-08,2026-03-08,Azithromycin,500,376.49,1
213,Atorvastatin,GSK,B465805,Germany,2026-07-03,2028-10-05,Atorvastatin,10,266.25,1
214,Azithromycin,Sanofi India,B66866,India,2025-07-07,2028-04-28,Azithromycin,500,341.74,1
215,Atorvastatin,Glenmark,B43844,USA,2024-10-16,2027-02-06,Atorvastatin,10,206.56,1
216,Amoxicillin,Bayer India,B490366,UK,2025-09-08,2028-07-13,Amoxicillin,250,209.51,1
217,Paracetamol,Abbott India,B30807,USA,2025-12-07,2028-04-06,Paracetamol,500,102.81,1
218,Amoxicillin,IPCA Labs,B12850,India,2026-01-03,2026-10-31,Amoxicillin,250,88.3,0
219,Atorvastatin,Nexus Biotech,B142078,Germany,2026-05-31,2028-08-09,Atorvastatin,10,130.65,0
220,Pantoprazole,Novartis,B725843,UK,2026-07-05,2028-01-24,Pantoprazole,40,162.64,1
221,Pantoprazole,Abbott India,B21848,Germany,2025-04-21,2026-09-12,Pantoprazole,40,254.2,1
222,Metformin,Dr. Reddy's,B49489,USA,2025-04-17,2026-07-08,Metformin,500,89.49,1
223,Omeprazole,IPCA Labs,B105184,UK,2026-03-31,2027-09-10,Omeprazole,20,172.07,1
224,Metformin,Lupin,B971730,UK,2026-03-03,2029-02-23,Metformin,500,94.16,1
225,Amoxicillin,Dr. Reddy's,B396951,USA,2025-12-13,2028-08-15,Amoxicillin,250,163.79,1
226,Amoxicillin,Torrent,B40822,USA,2025-08-21,2027-08-26,Amoxicillin,250,223.8,1
227,Paracetamol,Mankind Pharma,B75529,Germany,2024-08-15,2025-09-29,Paracetamol,500,121.55,1
228,Ibuprofen,IPCA Labs,B426203,India,2023-10-07,2024-02-21,Ibuprofen,400,51.95,0
229,Ibuprofen,Bayer India,B819391,Germany,2024-02-20,2026-12-22,Ibuprofen,400,86.67,1
230,Paracetamol,Novartis,B112151,India,2026-04-18,2029-02-15,Paracetamol,500,137.47,1
231,Ibuprofen,Pfizer,B89119,UK,2026-02-04,2028-07-02,Ibuprofen,400,86.41,1
232,Metformin,Wockhardt,B65583,Germany,2026-07-20,2028-08-15,Metformin,500,135.75,1
233,Amoxicillin,Zydus Cadila,B556013,India,2023-11-04,2026-02-21,Amoxicillin,250,181.65,1
234,Amoxicillin,Sun Pharma,B364583,Switzerland,2025-12-15,2027-11-25,Amoxicillin,250,158.01,1
235,Paracetamol,Abbott India,B440401,UK,2025-03-28,2028-01-08,Paracetamol,500,184.25,1
236,Amoxicillin,Pfizer,B80121,USA,2024-02-06,2025-06-14,Amoxicillin,250,204.33,1
237,Metformin,GSK,B78623,UK,2026-02-20,2027-04-02,Metformin,500,86.7,1
238,Cetirizine,Mankind Pharma,B54272,India,2025-04-06,2027-06-12,Cetirizine,10,83.04,1
239,Azithromycin,Cipla,B222080,Switzerland,2024-08-23,2027-03-30,Azithromycin,500,262.81,1
240,Atorvastatin,Lupin,B59051,Germany,2026-03-22,2027-10-28,Atorvastatin,10,260.89,1
241,Ibuprofen,IPCA Labs,B89249,USA,2025-10-21,2027-04-24,Ibuprofen,400,85.34,1
242,Atorvastatin,Pfizer,B380025,India,2026-03-01,2028-11-03,Atorvastatin,10,215.01,1
243,Cetirizine,Abbott India,B863535,India,2026-02-25,2028-10-19,Cetirizine,10,88.5,1
244,Pantoprazole,Novartis,B5680,USA,2025-05-12,2027-05-01,Pantoprazole,40,190.25,1
245,Azithromycin,Alkem,B98209,UK,2025-10-03,2027-06-21,Azithromycin,500,235.97,1
246,Pantoprazole,Wockhardt,B418801,Switzerland,2025-03-16,2027-02-01,Pantoprazole,40,149.65,1
247,Metformin,IPCA Labs,B535571,India,2023-09-13,2025-06-29,Metformin,500,118.22,1
248,Metformin,Novartis,B22711,Switzerland,2025-10-15,2027-05-26,Metformin,500,114.08,1
249,Amoxicillin,Dr. Reddy's,B676790,UK,2025-11-10,2027-11-05,Amoxicillin,250,256.22,1
250,Ibuprofen,Abbott India,B626704,Switzerland,2026-07-22,2028-08-26,Ibuprofen,400,108.44,1
251,Ibuprofen,Bayer India,OA,UK,2024-07-14,2025-02-04,Ibuprofen,400,48.13,0
252,Ibuprofen,Torrent,B89915,Switzerland,2025-11-11,2026-08-01,Ibuprofen,400,80.27,0
253,Azithromycin,Cipla,B88819,UK,2025-10-02,2028-04-19,Azithromycin,500,458.62,1
254,Omeprazole,Abbott India,B32965,Switzerland,2026-03-21,2029-03-19,Omeprazole,20,184.4,1
255,Cetirizine,Sun Pharma,B581498,India,2024-12-10,2027-11-10,Cetirizine,10,59.04,1
256,Omeprazole,GenPharm Ltd,B267003,Germany,2024-12-10,2027-03-28,Omeprazole,20,136.15,1
257,Amoxicillin,Pfizer,B504032,India,2023-12-19,2026-02-18,Amoxicillin,250,231.91,1
258,Amlodipine,Torrent,B48399,India,2025-10-20,2026-11-29,Amlodipine,5,147.56,1
259,Amlodipine,Mankind Pharma,1U2,Germany,2025-06-22,2027-02-25,Amlodipine,5,69.63,0
260,Omeprazole,Cipla,B889056,USA,2024-12-10,2026-09-02,Omeprazole,20,175.14,1
261,Metformin,Zydus Cadila,B28352,USA,2024-05-26,2026-11-11,Metformin,500,108.0,1
262,Omeprazole,Glenmark,FWRP,Switzerland,2024-04-16,2026-02-09,Omeprazole,20,85.02,1
263,Atorvastatin,Lupin,B86576,Germany,2023-08-21,2025-05-12,Atorvastatin,10,115.05,1
